Philippa,Brothers,TRUE,TRUE,TRUE,Auckland,67,92649
Andrew,Murtagh,TRUE,FALSE,FALSE,Auckland,18,47601
Loren,van Gent,TRUE,FALSE,FALSE,Glenbervie,40,42615
Kailee,Evaroa,TRUE,FALSE,FALSE,Turakina,22,36305
Sopo,Nanai,TRUE,TRUE,FALSE,Porirua,43,45740
Dairne,Burns,TRUE,TRUE,FALSE,Hamilton,1,53738
Graham,Moore,TRUE,FALSE,FALSE,Wangharei,28,51024
Dawn,Kiddie,TRUE,TRUE,FALSE,Tauranga,46,25598
Hayden,Collier,TRUE,FALSE,FALSE,Christchurch,12,30011
Kay,RYAN,TRUE,TRUE,TRUE,Rotorua,45,64102
Martin,Armstrong,TRUE,FALSE,FALSE,Taupo,46,29317
Fiona,Cameron,TRUE,FALSE,FALSE,Rotorua,24,67220
Dennis,Urquhart,TRUE,FALSE,FALSE,Kaitaia,62,35319
Sam,Gimblett,TRUE,FALSE,FALSE,Christchurch,37,56103
Kate,McKay,TRUE,FALSE,FALSE,Auckland,29,53803
Lisa,Baigent,TRUE,FALSE,FALSE,Auckland,55,68041
Teresa,Walker,TRUE,TRUE,TRUE,Rotorua,42,98678
Jo,Pappini,TRUE,TRUE,FALSE,Arrowtown,6,21242
Cheryl,Cochran,TRUE,TRUE,TRUE,Tauranga,31,75558
Kerry,Higgins,TRUE,FALSE,FALSE,Coal Stream,7,53794
Bradley,Carr,TRUE,FALSE,FALSE,Manukau,34,69836
Jillian,Fordyce,TRUE,TRUE,TRUE,Twizel,60,8487
Glenys,Courtney-Strachan,TRUE,FALSE,FALSE,Rotorua,22,39229
James,Stewart,TRUE,TRUE,FALSE,Oamaru,51,30119
Kerry,Delaney,TRUE,FALSE,FALSE,Porirua,23,37584
Karmjit,Singh,TRUE,FALSE,FALSE,Auckland,52,34071
Luke,Sutherland,TRUE,FALSE,FALSE,Auckland,23,85731
Tom,Coppell,TRUE,FALSE,FALSE,Lower Hutt,2,44017
Nathan,Dunn,TRUE,TRUE,TRUE,Auckland,15,26061
James,Smith,TRUE,FALSE,FALSE,Christchurch,47,15542
Jill,MOSS,TRUE,TRUE,FALSE,Cheltenham,55,91366
Kim,Stewart,TRUE,TRUE,FALSE,Foxton Beach,67,83302
Bill,Lowe,TRUE,TRUE,FALSE,Clive,30,92651
Heather,Sorensen,TRUE,FALSE,TRUE,Kerikeri,23,71938
Jade,Takao,TRUE,FALSE,FALSE,Otaki Beach,3,16897
Mary-Anne,McAllum,TRUE,TRUE,TRUE,Stratford,42,57954
Christina,Nicolaas,TRUE,FALSE,FALSE,Hamilton,50,28349
David,Orchard,TRUE,FALSE,FALSE,Waihi,28,33402
Matthew,Martyn,TRUE,FALSE,FALSE,Hamilton,63,38827
Rotiki,Williams,TRUE,FALSE,FALSE,Rotorua,45,89228
Margaret,Spicer,TRUE,FALSE,FALSE,Auckland,37,33135
Victoria,Munn,TRUE,TRUE,FALSE,Auckland,2,56022
Todd,O'Donnell,TRUE,FALSE,FALSE,Foxton,3,3085
Jenny,Rudd,TRUE,TRUE,FALSE,Tauranga,34,85246
Robyn,Johnston,TRUE,TRUE,TRUE,Dunedin,17,93186
Timothy,Elliott,TRUE,FALSE,FALSE,Auckland,26,12598
Pravin,Kumar,TRUE,FALSE,FALSE,Auckland,6,12376
Lyn,Clayton,TRUE,TRUE,FALSE,Auckland,53,72441
Jacob,Kuman,TRUE,FALSE,FALSE,Blenheim,56,30964
Osaiasi,Tonga,TRUE,FALSE,FALSE,Auckland,69,48624
Kyra,Portis,TRUE,FALSE,FALSE,Christchurch,2,63011
Sally,Ross,TRUE,TRUE,FALSE,Whanganui,40,18356
Samantha,Scott,TRUE,TRUE,TRUE,Auckland,25,59041
Karen,Johansen,TRUE,TRUE,FALSE,Gisborne,27,29874
Russell,Cockburn,TRUE,TRUE,FALSE,Christchurch,55,52776
Faye,Christensen,TRUE,TRUE,FALSE,Hamilton,59,81019
Ramesh (Isaac),Songa,TRUE,FALSE,FALSE,Porirua,64,9764
Hamish,Stace,TRUE,TRUE,FALSE,Christchurch,18,23358
Hubert,Wu,TRUE,TRUE,FALSE,Auckland,23,22729
Sonia,Winikerei,TRUE,TRUE,FALSE,Tokoroa,44,75724
Robert,Murray,TRUE,TRUE,FALSE,Rolleston,19,48905
Tuli,Paulo,TRUE,FALSE,FALSE,Porirua,13,87436
Liz,Box,TRUE,TRUE,TRUE,Morrinsville,15,92117
Melissa,Karacaoglu,TRUE,TRUE,FALSE,Wellington,7,84492
Vanessa,Reynolds,TRUE,TRUE,FALSE,Tutukaka,16,53044
Frances,Roberts,TRUE,TRUE,FALSE,Auckland,13,18070
Joy,Ramsay,TRUE,TRUE,TRUE,Alexandra,61,20873
Mark,McCarthny,TRUE,TRUE,TRUE,Whangaparaoa,54,44083
John,Dew,TRUE,FALSE,FALSE,Wellington,58,25726
Trudy,Drinkwater,TRUE,FALSE,TRUE,Red Beach,13,56104
Neil,O'Gorman,TRUE,TRUE,FALSE,Auckland,7,6704
Julia,Damrow,TRUE,TRUE,FALSE,Auckland,29,34334
Malcolm,Jones,TRUE,FALSE,FALSE,Lower Hutt,4,9978
Kate,PAINE,TRUE,TRUE,TRUE,Cambridge,56,27657
Sarah,Glover,TRUE,FALSE,FALSE,Auckland,46,28856
Kelly,Townsend,TRUE,TRUE,TRUE,Red Beach,2,78
Karen,Dunlea,TRUE,TRUE,FALSE,Dunedin,22,18642
Julie,Black,TRUE,TRUE,FALSE,Christchurch,32,99855
Damian,Reid,TRUE,TRUE,TRUE,Levin,51,38566
Karen,De Keijzer,TRUE,FALSE,FALSE,Christchurch,10,93417
Louise,Brewster,TRUE,FALSE,TRUE,Auckland,8,34008
Tyra,Wilson,TRUE,TRUE,FALSE,Auckland,47,28120
Marion,Peck,TRUE,TRUE,TRUE,Hamilton,13,29946
Theresa,Sjoquist,TRUE,TRUE,TRUE,Helensville,10,64552
Emma,Deason,TRUE,TRUE,FALSE,Blenheim,14,11519
Clarissa,Waugh,TRUE,FALSE,FALSE,Tauherenikau,53,94554
Rose,Shepard,TRUE,TRUE,FALSE,Nelson,29,24521
Scott,McPherson,TRUE,TRUE,FALSE,Taumarunui,49,42441
Anthony,Garea,TRUE,TRUE,FALSE,Rotorua,32,26226
Maxton,Vivian,TRUE,FALSE,FALSE,Paeroa,23,8493
Ben,Matthews,TRUE,FALSE,FALSE,Lower Hutt,5,6692
Siaosi,Kei,TRUE,FALSE,FALSE,Christchurch,43,30363
Dalton,Walker,TRUE,FALSE,FALSE,Havelock North,19,30121
James,Lee,TRUE,FALSE,FALSE,Auckland,16,476
Rachel,Janssen,TRUE,FALSE,FALSE,Te Pahu,58,92817
Denis,Brown,TRUE,FALSE,FALSE,Kawakawa,8,63934
Will,Po'Ese,TRUE,FALSE,FALSE,Hamilton,45,14302
Michael,Gilbert,TRUE,TRUE,FALSE,Mount Barker,67,82614
John,Cowan,TRUE,TRUE,FALSE,Auckland,19,17611
Pirihira,Waitai,TRUE,TRUE,FALSE,Hamilton,22,83123
Bailey,Lenart,TRUE,TRUE,FALSE,Auckland,44,58372
Aingie,Miller,TRUE,FALSE,TRUE,Wellington,62,70730
Lyn,Allen,TRUE,FALSE,TRUE,Cambridge,25,64023
Vegas,Brown,TRUE,TRUE,FALSE,Whitianga,63,19372
Becky,Bulman,TRUE,TRUE,FALSE,Christchurch,57,70639
Ross,Green,TRUE,FALSE,FALSE,Auckland,9,56441
Devon,Armstrong,TRUE,FALSE,FALSE,Awanui,48,86925
Julia,Mccarthy,TRUE,FALSE,FALSE,Christchurch,41,46302
Sally,Avison,TRUE,FALSE,FALSE,Auckland,7,80219
Wayne,Johnson,TRUE,FALSE,FALSE,Wanaka,32,52785
Peter,Griffiths,TRUE,FALSE,FALSE,Christchurch,50,61946
Olivia,Scott,TRUE,TRUE,FALSE,Auckland,54,8231
Neil,Brosnahan,TRUE,TRUE,FALSE,Christchurch,61,76418
Ange,Scott,TRUE,TRUE,TRUE,Ngakuru,24,41592
Yvonne,James,TRUE,TRUE,FALSE,Tauranga,25,61785
Declan,Pearson,TRUE,TRUE,FALSE,Alexandra,11,35522
Suzanne,Tofilau,TRUE,TRUE,FALSE,Auckland,11,66010
Clint,Randell,TRUE,FALSE,FALSE,Auckland,62,84992
Maddy,Fisher,TRUE,FALSE,FALSE,Auckland,37,1290
Sarah,Hira,TRUE,FALSE,FALSE,Christchurch,50,19767
Benn,Milne,TRUE,FALSE,FALSE,Woodside,17,63942
Ruth,Garvin,TRUE,TRUE,FALSE,Temuka,27,72305
Gemma,Lemon,TRUE,TRUE,FALSE,Invercargill,68,18174
Grace,Saathof,TRUE,FALSE,FALSE,Tauranga,68,99034
Cushla,Whalen,TRUE,TRUE,FALSE,Puni,20,93516
Shirley,Jessop,TRUE,FALSE,FALSE,Pokeno,57,43352
Lana,Searle,TRUE,FALSE,FALSE,Christchurch,34,42291
Mack,Tane,TRUE,FALSE,FALSE,Silverdale,18,19154
